roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-2507,Male,Group D,High school,Standard,Complete,100,36.0,54.0,64.0,254.0,B
std-2508,Male,Group D,Some college,Standard,Complete,89,83.0,71.0,100.0,343.0,A
std-2509,Male,Group B,Associate's degree,Free/reduced,Complete,28,59.0,100.0,98.0,285.0,B
std-2510,Male,Group C,Master's degree,Standard,Not complete,85,43.0,41.0,75.0,244.0,C
std-2511,Male,Group D,Some college,Standard,Not complete,53,74.0,77.0,70.0,274.0,B
std-2512,Male,Group A,High school,Free/reduced,Complete,24,63.0,62.0,56.0,205.0,C
std-2513,Male,Group D,Associate's degree,Free/reduced,Not complete,73,100.0,85.0,51.0,309.0,B
std-2514,Male,Group D,Associate's degree,Free/reduced,Not complete,71,92.0,76.0,46.0,285.0,B
std-2515,Male,Group C,Associate's degree,Standard,Not complete,16,98.0,62.0,67.0,243.0,C
std-2516,Male,Group B,Bachelor's degree,Free/reduced,Complete,35,54.0,66.0,47.0,202.0,C
std-2517,Male,Group C,Some college,Standard,Complete,67,71.0,78.0,64.0,280.0,B
std-2518,Male,Group D,High school,Standard,Not complete,32,81.0,66.0,59.0,238.0,C
std-2519,Male,Group E,Some college,Free/reduced,Not complete,11,91.0,82.0,76.0,260.0,B
std-2520,Male,Group E,High school,Standard,Not complete,75,83.0,73.0,57.0,288.0,B
std-2521,Male,Group C,Some college,Free/reduced,Not complete,24,64.0,48.0,89.0,225.0,C
std-2522,Male,Group D,High school,Standard,Complete,58,63.0,56.0,61.0,238.0,C
std-2523,Male,Group B,High school,Free/reduced,Not complete,80,56.0,57.0,65.0,258.0,B
std-2524,Male,Group D,Associate's degree,Free/reduced,Not complete,43,47.0,60.0,65.0,215.0,C
std-2525,Male,Group E,Some college,Standard,Not complete,50,71.0,56.0,91.0,268.0,B
std-2526,Male,Group C,Some college,Standard,Complete,89,77.0,86.0,33.0,285.0,B
std-2527,Male,Group E,Associate's degree,Standard,Complete,38,55.0,53.0,59.0,205.0,C
std-2528,Male,Group C,Some college,Standard,Not complete,56,100.0,88.0,58.0,302.0,B
std-2529,Male,Group C,Associate's degree,Standard,Not complete,28,58.0,74.0,82.0,242.0,C
std-2530,Male,Group B,Associate's degree,Free/reduced,Complete,70,80.0,84.0,68.0,302.0,B
std-2531,Male,Group B,Master's degree,Standard,Complete,59,100.0,71.0,37.0,267.0,B
std-2532,Male,Group B,Bachelor's degree,Free/reduced,Not complete,70,51.0,80.0,31.0,232.0,C
std-2533,Male,Group C,Bachelor's degree,Standard,Complete,67,78.0,43.0,78.0,266.0,B
std-2534,Male,Group D,Associate's degree,Standard,Complete,40,72.0,62.0,56.0,230.0,C
std-2535,Male,Group C,Master's degree,Standard,Complete,33,63.0,95.0,30.0,221.0,C
std-2536,Male,Group C,High school,Free/reduced,Complete,17,96.0,69.0,62.0,244.0,C
std-2537,Male,Group C,High school,Free/reduced,Not complete,71,76.0,29.0,99.0,275.0,B
std-2538,Male,Group D,High school,Standard,Complete,81,66.0,44.0,91.0,282.0,B
std-2539,Male,Group C,Associate's degree,Free/reduced,Not complete,14,78.0,71.0,77.0,240.0,C
std-2540,Male,Group B,Some college,Standard,Complete,43,57.0,45.0,50.0,195.0,D
std-2541,Male,Group D,High school,Standard,Complete,64,74.0,80.0,55.0,273.0,B
std-2542,Male,Group C,Some college,Standard,Not complete,56,60.0,60.0,100.0,276.0,B
std-2543,Male,Group D,High school,Free/reduced,Not complete,17,76.0,58.0,69.0,220.0,C
std-2544,Male,Group C,Master's degree,Standard,Not complete,26,79.0,68.0,100.0,273.0,B
std-2545,Male,Group C,Bachelor's degree,Standard,Not complete,43,48.0,62.0,55.0,208.0,C
std-2546,Male,Group B,High school,Standard,Not complete,49,92.0,87.0,87.0,315.0,B
std-2547,Male,Group C,High school,Standard,Not complete,63,82.0,80.0,15.0,240.0,C
std-2548,Male,Group C,Associate's degree,Free/reduced,Not complete,26,90.0,92.0,56.0,264.0,B
std-2549,Male,Group C,Associate's degree,Standard,Not complete,49,91.0,75.0,70.0,285.0,B
std-2550,Male,Group B,Associate's degree,Free/reduced,Complete,64,73.0,32.0,50.0,219.0,C
std-2551,Male,Group C,High school,Free/reduced,Not complete,58,63.0,73.0,71.0,265.0,B
std-2552,Male,Group A,Some college,Standard,Complete,93,17.0,28.0,56.0,194.0,D
std-2553,Male,Group D,High school,Standard,Not complete,19,78.0,98.0,84.0,279.0,B
std-2554,Male,Group D,High school,Standard,Complete,71,80.0,82.0,51.0,284.0,B
std-2555,Male,Group B,Some college,Free/reduced,Complete,49,33.0,47.0,50.0,179.0,D
std-2556,Male,Group B,Associate's degree,Standard,Not complete,10,81.0,61.0,30.0,182.0,D
std-2557,Male,Group D,Associate's degree,Free/reduced,Not complete,50,95.0,10.0,36.0,191.0,D
std-2558,Male,Group D,High school,Free/reduced,Complete,40,68.0,59.0,72.0,239.0,C
std-2559,Male,Group E,Some college,Free/reduced,Complete,15,75.0,71.0,47.0,208.0,C
std-2560,Male,Group B,Bachelor's degree,Free/reduced,Complete,12,51.0,54.0,15.0,132.0,Fail
std-2561,Male,Group A,Some college,Standard,Complete,37,81.0,61.0,93.0,272.0,B
std-2562,Male,Group E,Some college,Standard,Complete,100,60.0,86.0,65.0,311.0,B
std-2563,Male,Group C,Some college,Free/reduced,Not complete,67,41.0,73.0,36.0,217.0,C
std-2564,Male,Group E,High school,Free/reduced,Complete,48,54.0,82.0,36.0,220.0,C
std-2565,Male,Group D,High school,Standard,Not complete,70,59.0,64.0,55.0,248.0,C
std-2566,Male,Group C,High school,Free/reduced,Not complete,41,56.0,76.0,37.0,210.0,C
std-2567,Male,Group C,Associate's degree,Standard,Complete,48,81.0,40.0,97.0,266.0,B
std-2568,Male,Group C,Bachelor's degree,Standard,Complete,36,63.0,59.0,96.0,254.0,B
std-2569,Male,Group D,Bachelor's degree,Free/reduced,Not complete,100,85.0,52.0,55.0,292.0,B
std-2570,Male,Group C,Bachelor's degree,Free/reduced,Not complete,38,86.0,91.0,59.0,274.0,B
std-2571,Male,Group B,Master's degree,Standard,Complete,42,52.0,49.0,72.0,215.0,C
std-2572,Male,Group D,Associate's degree,Standard,Not complete,81,59.0,70.0,45.0,255.0,B
std-2573,Male,Group B,Master's degree,Standard,Not complete,70,89.0,67.0,79.0,305.0,B
std-2574,Male,Group E,High school,Free/reduced,Not complete,45,81.0,57.0,87.0,270.0,B
std-2575,Male,Group D,High school,Free/reduced,Not complete,58,64.0,68.0,46.0,236.0,C
std-2576,Male,Group D,High school,Free/reduced,Complete,40,64.0,65.0,34.0,203.0,C
std-2577,Male,Group B,High school,Free/reduced,Not complete,33,47.0,47.0,36.0,163.0,D
std-2578,Male,Group C,High school,Standard,Not complete,76,63.0,73.0,92.0,304.0,B
std-2579,Male,Group B,Bachelor's degree,Standard,Not complete,55,92.0,54.0,89.0,290.0,B
std-2580,Male,Group C,Associate's degree,Free/reduced,Not complete,28,66.0,78.0,95.0,267.0,B
std-2581,Male,Group C,High school,Free/reduced,Not complete,69,84.0,61.0,97.0,311.0,B
std-2582,Male,Group D,Some college,Standard,Not complete,21,42.0,67.0,25.0,155.0,D
std-2583,Male,Group A,Some college,Free/reduced,Not complete,84,64.0,59.0,65.0,272.0,B
std-2584,Male,Group D,Some college,Free/reduced,Complete,70,94.0,98.0,60.0,322.0,A
std-2585,Male,Group B,Associate's degree,Standard,Complete,54,70.0,84.0,100.0,308.0,B
std-2586,Male,Group D,High school,Free/reduced,Not complete,69,63.0,99.0,52.0,283.0,B
std-2587,Male,Group B,High school,Standard,Complete,49,94.0,77.0,67.0,287.0,B
std-2588,Male,Group C,High school,Free/reduced,Not complete,81,66.0,79.0,86.0,312.0,B
std-2589,Male,Group B,Bachelor's degree,Standard,Not complete,66,68.0,81.0,82.0,297.0,B
std-2590,Male,Group C,Associate's degree,Free/reduced,Complete,30,58.0,56.0,75.0,219.0,C
std-2591,Male,Group D,Associate's degree,Standard,Not complete,46,79.0,68.0,97.0,290.0,B
std-2592,Male,Group D,Some college,Free/reduced,Not complete,50,34.0,37.0,68.0,189.0,D
std-2593,Male,Group B,Some college,Standard,Complete,66,88.0,97.0,100.0,351.0,A
std-2594,Male,Group C,High school,Standard,Not complete,13,50.0,50.0,71.0,184.0,D
std-2595,Male,Group B,Some college,Standard,Complete,58,34.0,66.0,72.0,230.0,C
std-2596,Male,Group C,Associate's degree,Standard,Not complete,42,45.0,40.0,45.0,172.0,D
std-2597,Male,Group C,Bachelor's degree,Standard,Not complete,33,91.0,39.0,44.0,207.0,C
std-2598,Male,Group C,Associate's degree,Free/reduced,Complete,99,75.0,44.0,60.0,278.0,B
std-2599,Male,Group D,Bachelor's degree,Standard,Complete,49,90.0,56.0,81.0,276.0,B
std-2600,Male,Group A,Some college,Free/reduced,Not complete,79,81.0,46.0,48.0,254.0,B
std-2601,Male,Group D,High school,Free/reduced,Not complete,61,58.0,61.0,41.0,221.0,C
std-2602,Male,Group D,Some college,Free/reduced,Complete,76,97.0,35.0,75.0,283.0,B
std-2603,Male,Group E,High school,Standard,Complete,73,86.0,80.0,61.0,300.0,B
std-2604,Male,Group C,Master's degree,Standard,Not complete,0,66.0,48.0,90.0,204.0,C
std-2605,Male,Group E,Associate's degree,Standard,Complete,28,60.0,100.0,54.0,242.0,C
std-2606,Male,Group B,High school,Standard,Complete,47,95.0,52.0,51.0,245.0,C
std-2607,Male,Group D,High school,Standard,Not complete,61,89.0,72.0,85.0,307.0,B
std-2608,Male,Group B,Associate's degree,Standard,Not complete,59,44.0,45.0,62.0,210.0,C
std-2609,Male,Group A,Master's degree,Standard,Complete,62,39.0,74.0,68.0,243.0,C
std-2610,Male,Group C,Some college,Standard,Not complete,46,85.0,43.0,70.0,244.0,C
std-2611,Male,Group C,High school,Standard,Complete,28,75.0,56.0,59.0,218.0,C
std-2612,Male,Group B,High school,Free/reduced,Not complete,20,58.0,95.0,55.0,228.0,C
std-2613,Male,Group A,Some college,Free/reduced,Complete,39,100.0,82.0,39.0,260.0,B
std-2614,Male,Group D,Some college,Standard,Not complete,71,66.0,91.0,12.0,240.0,C
std-2615,Male,Group C,High school,Standard,Not complete,12,85.0,79.0,59.0,235.0,C
std-2616,Male,Group D,Bachelor's degree,Standard,Not complete,54,83.0,72.0,53.0,262.0,B
std-2617,Male,Group C,High school,Standard,Not complete,18,64.0,34.0,100.0,216.0,C
std-2618,Male,Group C,High school,Free/reduced,Not complete,73,86.0,84.0,78.0,321.0,A
std-2619,Male,Group C,High school,Standard,Not complete,27,70.0,65.0,96.0,258.0,B
std-2620,Male,Group D,High school,Free/reduced,Complete,33,68.0,75.0,37.0,213.0,C
std-2621,Male,Group E,Master's degree,Free/reduced,Not complete,70,77.0,32.0,91.0,270.0,B
std-2622,Male,Group B,High school,Free/reduced,Complete,15,52.0,81.0,56.0,204.0,C
std-2623,Male,Group C,High school,Free/reduced,Complete,58,56.0,52.0,40.0,206.0,C
std-2624,Male,Group D,Bachelor's degree,Standard,Not complete,34,80.0,55.0,88.0,257.0,B
std-2625,Male,Group A,High school,Standard,Not complete,30,17.0,97.0,43.0,187.0,D
std-2626,Male,Group D,Associate's degree,Standard,Not complete,68,94.0,74.0,87.0,323.0,A
std-2627,Male,Group C,High school,Free/reduced,Complete,74,46.0,72.0,76.0,268.0,B
std-2628,Male,Group C,Bachelor's degree,Free/reduced,Not complete,25,40.0,72.0,72.0,209.0,C
std-2629,Male,Group B,Bachelor's degree,Free/reduced,Not complete,37,63.0,80.0,70.0,250.0,B
std-2630,Male,Group B,High school,Standard,Not complete,97,74.0,88.0,81.0,340.0,A
std-2631,Male,Group C,Some college,Standard,Complete,31,88.0,47.0,70.0,236.0,C
std-2632,Male,Group D,High school,Free/reduced,Complete,88,88.0,38.0,22.0,236.0,C
std-2633,Male,Group C,Master's degree,Free/reduced,Not complete,10,72.0,58.0,91.0,231.0,C
std-2634,Male,Group D,Associate's degree,Standard,Complete,20,75.0,62.0,44.0,201.0,C
std-2635,Male,Group D,High school,Free/reduced,Not complete,54,83.0,53.0,65.0,255.0,B
std-2636,Male,Group C,High school,Standard,Complete,68,100.0,100.0,90.0,358.0,A
std-2637,Male,Group C,Associate's degree,Standard,Not complete,58,57.0,80.0,71.0,266.0,B
std-2638,Male,Group D,Some college,Standard,Not complete,23,90.0,85.0,31.0,229.0,C
std-2639,Male,Group D,Some college,Standard,Complete,65,69.0,78.0,65.0,277.0,B
std-2640,Male,Group D,Some college,Standard,Complete,51,76.0,100.0,44.0,271.0,B
std-2641,Male,Group E,High school,Free/reduced,Not complete,25,96.0,48.0,80.0,249.0,C
std-2642,Male,Group E,High school,Standard,Not complete,49,58.0,77.0,89.0,273.0,B
std-2643,Male,Group E,High school,Free/reduced,Not complete,70,77.0,69.0,44.0,260.0,B
std-2644,Male,Group D,Some college,Standard,Not complete,53,93.0,60.0,82.0,288.0,B
std-2645,Male,Group D,Some college,Free/reduced,Not complete,10,39.0,39.0,62.0,150.0,D
std-2646,Male,Group E,High school,Free/reduced,Not complete,74,57.0,70.0,86.0,287.0,B
std-2647,Male,Group D,Some college,Free/reduced,Complete,82,89.0,93.0,41.0,305.0,B
std-2648,Male,Group D,Master's degree,Standard,Not complete,73,61.0,34.0,100.0,268.0,B
std-2649,Male,Group D,Bachelor's degree,Free/reduced,Complete,40,84.0,61.0,52.0,237.0,C
std-2650,Male,Group C,Bachelor's degree,Standard,Not complete,100,58.0,80.0,52.0,290.0,B
std-2651,Male,Group B,Some college,Free/reduced,Complete,72,50.0,59.0,81.0,262.0,B
std-2652,Male,Group C,Bachelor's degree,Standard,Not complete,49,76.0,34.0,76.0,235.0,C
std-2653,Male,Group B,Bachelor's degree,Standard,Not complete,83,62.0,91.0,40.0,276.0,B
std-2654,Male,Group E,Bachelor's degree,Free/reduced,Complete,67,65.0,68.0,48.0,248.0,C
std-2655,Male,Group C,High school,Free/reduced,Not complete,49,96.0,83.0,70.0,298.0,B
std-2656,Male,Group D,High school,Standard,Not complete,38,30.0,53.0,51.0,172.0,D
std-2657,Male,Group E,Associate's degree,Free/reduced,Not complete,35,64.0,89.0,17.0,205.0,C
std-2658,Male,Group A,High school,Free/reduced,Not complete,37,62.0,55.0,69.0,223.0,C
std-2659,Male,Group D,Some college,Free/reduced,Not complete,10,75.0,51.0,52.0,188.0,D
std-2660,Male,Group D,High school,Standard,Complete,49,53.0,58.0,57.0,217.0,C
std-2661,Male,Group C,High school,Standard,Complete,41,91.0,73.0,38.0,243.0,C
std-2662,Male,Group D,Bachelor's degree,Standard,Complete,42,53.0,72.0,63.0,230.0,C
std-2663,Male,Group D,Associate's degree,Standard,Complete,61,67.0,96.0,82.0,306.0,B
std-2664,Male,Group C,High school,Standard,Not complete,47,82.0,54.0,26.0,209.0,C
std-2665,Male,Group D,Bachelor's degree,Standard,Complete,63,62.0,100.0,74.0,299.0,B
std-2666,Male,Group D,Associate's degree,Free/reduced,Not complete,32,81.0,69.0,97.0,279.0,B
std-2667,Male,Group D,High school,Standard,Not complete,81,71.0,100.0,85.0,337.0,A
std-2668,Male,Group B,Some college,Free/reduced,Complete,62,70.0,98.0,68.0,298.0,B
std-2669,Male,Group D,High school,Standard,Complete,46,53.0,55.0,89.0,243.0,C
std-2670,Male,Group C,Associate's degree,Standard,Complete,61,80.0,36.0,27.0,204.0,C
std-2671,Male,Group C,High school,Standard,Complete,45,100.0,52.0,36.0,233.0,C
std-2672,Male,Group D,High school,Free/reduced,Complete,26,68.0,53.0,43.0,190.0,D
std-2673,Male,Group D,Associate's degree,Standard,Not complete,69,86.0,56.0,47.0,258.0,B
std-2674,Male,Group D,Master's degree,Free/reduced,Not complete,67,35.0,36.0,44.0,182.0,D
std-2675,Male,Group E,High school,Standard,Complete,85,77.0,82.0,91.0,335.0,A
std-2676,Male,Group B,High school,Standard,Complete,70,78.0,49.0,76.0,273.0,B
std-2677,Male,Group C,High school,Free/reduced,Complete,73,65.0,82.0,83.0,303.0,B
std-2678,Male,Group D,Some college,Standard,Not complete,19,78.0,88.0,36.0,221.0,C
std-2679,Male,Group E,Associate's degree,Standard,Complete,50,74.0,62.0,38.0,224.0,C
std-2680,Male,Group E,High school,Standard,Not complete,23,100.0,84.0,70.0,277.0,B
std-2681,Male,Group C,High school,Free/reduced,Not complete,77,75.0,73.0,55.0,280.0,B
std-2682,Male,Group C,High school,Standard,Not complete,55,81.0,73.0,82.0,291.0,B
std-2683,Male,Group C,High school,Free/reduced,Complete,37,40.0,36.0,42.0,155.0,D
std-2684,Male,Group B,Some college,Standard,Not complete,32,77.0,49.0,56.0,214.0,C
std-2685,Male,Group D,Some college,Standard,Not complete,55,80.0,78.0,89.0,302.0,B
std-2686,Male,Group B,Bachelor's degree,Standard,Not complete,67,17.0,82.0,65.0,231.0,C
std-2687,Male,Group C,High school,Standard,Complete,38,37.0,51.0,78.0,204.0,C
std-2688,Male,Group D,Master's degree,Free/reduced,Complete,70,76.0,78.0,32.0,256.0,B
std-2689,Male,Group D,Associate's degree,Standard,Not complete,23,62.0,64.0,32.0,181.0,D
std-2690,Male,Group C,High school,Free/reduced,Not complete,53,95.0,71.0,73.0,292.0,B
std-2691,Male,Group D,Some college,Standard,Not complete,28,55.0,60.0,62.0,205.0,C
std-2692,Male,Group E,Associate's degree,Free/reduced,Not complete,22,59.0,55.0,77.0,213.0,C
std-2693,Male,Group E,High school,Free/reduced,Not complete,52,57.0,78.0,49.0,236.0,C
std-2694,Male,Group E,High school,Standard,Complete,28,76.0,51.0,67.0,222.0,C
std-2695,Male,Group D,High school,Standard,Not complete,76,50.0,67.0,64.0,257.0,B
std-2696,Male,Group D,High school,Standard,Complete,69,79.0,100.0,58.0,306.0,B
std-2697,Male,Group A,Some college,Standard,Not complete,43,100.0,31.0,63.0,237.0,C
std-2698,Male,Group D,High school,Standard,Not complete,58,59.0,66.0,30.0,213.0,C
std-2699,Male,Group D,High school,Free/reduced,Complete,64,75.0,70.0,54.0,263.0,B
std-2700,Male,Group C,Associate's degree,Standard,Not complete,80,46.0,67.0,54.0,247.0,C
std-2701,Male,Group B,High school,Free/reduced,Complete,47,70.0,74.0,58.0,249.0,C
std-2702,Male,Group B,High school,Standard,Not complete,46,87.0,54.0,56.0,243.0,C
std-2703,Male,Group B,High school,Free/reduced,Not complete,42,96.0,85.0,57.0,280.0,B
std-2704,Male,Group C,Some college,Free/reduced,Not complete,60,81.0,37.0,68.0,246.0,C
std-2705,Male,Group D,High school,Free/reduced,Not complete,31,69.0,61.0,36.0,197.0,D
std-2706,Male,Group B,Bachelor's degree,Standard,Not complete,66,64.0,84.0,45.0,259.0,B
std-2707,Male,Group E,Some college,Standard,Complete,43,100.0,92.0,36.0,271.0,B
std-2708,Male,Group C,Bachelor's degree,Standard,Complete,74,100.0,100.0,76.0,350.0,A
std-2709,Male,Group B,Some college,Standard,Complete,95,98.0,93.0,91.0,377.0,A
std-2710,Male,Group B,High school,Standard,Complete,0,100.0,51.0,76.0,227.0,C
std-2711,Male,Group C,High school,Standard,Not complete,25,56.0,53.0,91.0,225.0,C
std-2712,Male,Group D,Master's degree,Standard,Not complete,36,56.0,70.0,66.0,228.0,C
std-2713,Male,Group D,High school,Standard,Complete,44,46.0,71.0,69.0,230.0,C
std-2714,Male,Group B,Bachelor's degree,Standard,Complete,40,93.0,67.0,59.0,259.0,B
std-2715,Male,Group D,Some college,Standard,Complete,40,51.0,36.0,84.0,211.0,C
std-2716,Male,Group C,Some college,Free/reduced,Not complete,74,52.0,70.0,49.0,245.0,C
std-2717,Male,Group B,High school,Free/reduced,Not complete,69,49.0,70.0,53.0,241.0,C
std-2718,Male,Group B,Bachelor's degree,Free/reduced,Not complete,66,66.0,75.0,12.0,219.0,C
std-2719,Male,Group E,High school,Standard,Not complete,94,65.0,65.0,53.0,277.0,B
std-2720,Male,Group E,Bachelor's degree,Standard,Complete,56,71.0,66.0,88.0,281.0,B
std-2721,Male,Group A,High school,Standard,Not complete,13,77.0,88.0,41.0,219.0,C
std-2722,Male,Group C,Some college,Free/reduced,Not complete,37,64.0,78.0,34.0,213.0,C
std-2723,Male,Group A,High school,Standard,Not complete,10,100.0,87.0,75.0,272.0,B
std-2724,Male,Group E,Associate's degree,Standard,Not complete,77,85.0,58.0,83.0,303.0,B
std-2725,Male,Group D,Master's degree,Free/reduced,Complete,89,99.0,67.0,78.0,333.0,A
std-2726,Male,Group D,Associate's degree,Free/reduced,Not complete,48,49.0,78.0,72.0,247.0,C
std-2727,Male,Group D,Bachelor's degree,Standard,Not complete,49,65.0,81.0,71.0,266.0,B
std-2728,Male,Group C,Associate's degree,Standard,Not complete,100,97.0,88.0,51.0,336.0,A
std-2729,Male,Group C,Master's degree,Standard,Not complete,74,75.0,96.0,100.0,345.0,A
std-2730,Male,Group B,High school,Free/reduced,Complete,37,76.0,71.0,64.0,248.0,C
std-2731,Male,Group D,High school,Standard,Not complete,46,95.0,33.0,83.0,257.0,B
std-2732,Male,Group B,High school,Standard,Not complete,46,60.0,74.0,68.0,248.0,C
std-2733,Male,Group E,High school,Standard,Complete,24,85.0,52.0,98.0,259.0,B
std-2734,Male,Group E,Master's degree,Standard,Not complete,57,36.0,90.0,52.0,235.0,C
std-2735,Male,Group E,Some college,Standard,Complete,49,62.0,42.0,92.0,245.0,C
std-2736,Male,Group D,Associate's degree,Free/reduced,Not complete,58,66.0,100.0,9.0,233.0,C
std-2737,Male,Group A,High school,Free/reduced,Complete,12,59.0,72.0,49.0,192.0,D
std-2738,Male,Group B,Some college,Free/reduced,Not complete,24,50.0,90.0,76.0,240.0,C
std-2739,Male,Group D,Bachelor's degree,Free/reduced,Complete,43,61.0,49.0,74.0,227.0,C
std-2740,Male,Group C,Associate's degree,Free/reduced,Complete,53,91.0,59.0,73.0,276.0,B
std-2741,Male,Group E,Some college,Standard,Not complete,57,62.0,89.0,35.0,243.0,C
std-2742,Male,Group C,Some college,Standard,Not complete,30,38.0,52.0,24.0,144.0,Fail
std-2743,Male,Group D,Associate's degree,Standard,Not complete,74,100.0,75.0,93.0,342.0,A
std-2744,Male,Group B,Associate's degree,Free/reduced,Not complete,58,76.0,91.0,55.0,280.0,B
std-2745,Male,Group D,Bachelor's degree,Free/reduced,Complete,93,71.0,74.0,89.0,327.0,A
std-2746,Male,Group A,High school,Standard,Not complete,26,91.0,55.0,79.0,251.0,B
std-2747,Male,Group E,Some college,Standard,Complete,100,27.0,70.0,52.0,249.0,C
std-2748,Male,Group C,Some college,Standard,Not complete,72,83.0,67.0,48.0,270.0,B
std-2749,Male,Group B,Some college,Standard,Not complete,58,66.0,41.0,60.0,225.0,C
std-2750,Male,Group E,High school,Free/reduced,Not complete,0,73.0,55.0,88.0,216.0,C
std-2751,Male,Group B,High school,Standard,Not complete,39,79.0,80.0,90.0,288.0,B
std-2752,Male,Group D,Associate's degree,Standard,Not complete,30,100.0,70.0,36.0,236.0,C
std-2753,Male,Group C,Associate's degree,Standard,Complete,18,100.0,100.0,81.0,299.0,B
std-2754,Male,Group D,High school,Standard,Complete,38,76.0,72.0,47.0,233.0,C
std-2755,Male,Group B,High school,Standard,Complete,44,84.0,78.0,35.0,241.0,C
std-2756,Male,Group E,Some college,Standard,Not complete,19,69.0,60.0,78.0,226.0,C
std-2757,Male,Group B,Some college,Standard,Complete,64,82.0,88.0,82.0,316.0,B
std-2758,Male,Group E,Bachelor's degree,Free/reduced,Not complete,54,90.0,85.0,60.0,289.0,B
std-2759,Male,Group D,Associate's degree,Standard,Not complete,61,71.0,72.0,37.0,241.0,C
std-2760,Male,Group B,Some college,Standard,Not complete,70,70.0,57.0,58.0,255.0,B
std-2761,Male,Group C,Associate's degree,Free/reduced,Complete,61,91.0,44.0,78.0,274.0,B
std-2762,Male,Group C,High school,Standard,Not complete,34,59.0,77.0,87.0,257.0,B
std-2763,Male,Group E,Associate's degree,Standard,Complete,44,93.0,49.0,49.0,235.0,C
std-2764,Male,Group C,High school,Standard,Not complete,33,60.0,52.0,84.0,229.0,C
std-2765,Male,Group B,Associate's degree,Free/reduced,Not complete,59,64.0,46.0,64.0,233.0,C
std-2766,Male,Group A,Bachelor's degree,Free/reduced,Not complete,22,68.0,67.0,78.0,235.0,C
std-2767,Male,Group B,Some college,Free/reduced,Not complete,66,67.0,54.0,38.0,225.0,C
std-2768,Male,Group B,Master's degree,Free/reduced,Complete,54,53.0,55.0,82.0,244.0,C
std-2769,Male,Group C,High school,Standard,Not complete,61,72.0,74.0,94.0,301.0,B
std-2770,Male,Group D,Some college,Standard,Not complete,37,66.0,100.0,73.0,276.0,B
std-2771,Male,Group B,Associate's degree,Free/reduced,Not complete,31,91.0,70.0,99.0,291.0,B
std-2772,Male,Group D,Master's degree,Standard,Complete,30,80.0,59.0,69.0,238.0,C
std-2773,Male,Group D,High school,Free/reduced,Not complete,36,78.0,67.0,62.0,243.0,C
std-2774,Male,Group C,Associate's degree,Free/reduced,Not complete,39,65.0,100.0,44.0,248.0,C
std-2775,Male,Group E,Some college,Free/reduced,Not complete,34,68.0,50.0,55.0,207.0,C
std-2776,Male,Group B,High school,Standard,Not complete,31,100.0,54.0,53.0,238.0,C
std-2777,Male,Group E,Bachelor's degree,Standard,Complete,68,50.0,52.0,56.0,226.0,C
std-2778,Male,Group D,Some college,Standard,Not complete,69,73.0,29.0,44.0,215.0,C
std-2779,Male,Group D,Bachelor's degree,Standard,Complete,85,76.0,33.0,86.0,280.0,B
std-2780,Male,Group E,Some college,Free/reduced,Not complete,13,75.0,83.0,68.0,239.0,C
std-2781,Male,Group A,Some college,Free/reduced,Not complete,76,80.0,67.0,82.0,305.0,B
std-2782,Male,Group C,High school,Standard,Not complete,99,49.0,66.0,28.0,242.0,C
std-2783,Male,Group B,High school,Standard,Complete,0,86.0,68.0,78.0,232.0,C
std-2784,Male,Group A,Some college,Free/reduced,Not complete,29,65.0,30.0,65.0,189.0,D
std-2785,Male,Group C,High school,Standard,Complete,67,94.0,48.0,80.0,289.0,B
std-2786,Male,Group E,Some college,Standard,Complete,41,65.0,65.0,71.0,242.0,C
std-2787,Male,Group C,High school,Free/reduced,Complete,100,60.0,96.0,91.0,347.0,A
std-2788,Male,Group D,High school,Standard,Not complete,68,87.0,94.0,60.0,309.0,B
std-2789,Male,Group C,High school,Free/reduced,Complete,32,26.0,52.0,67.0,177.0,D
std-2790,Male,Group B,High school,Standard,Complete,37,87.0,75.0,38.0,237.0,C
std-2791,Male,Group A,High school,Standard,Not complete,100,53.0,87.0,66.0,306.0,B
std-2792,Male,Group C,High school,Free/reduced,Not complete,16,50.0,81.0,80.0,227.0,C
std-2793,Male,Group C,Associate's degree,Free/reduced,Complete,78,80.0,51.0,59.0,268.0,B
std-2794,Male,Group C,Associate's degree,Free/reduced,Not complete,56,100.0,68.0,64.0,288.0,B
std-2795,Male,Group D,Some college,Standard,Complete,42,75.0,64.0,83.0,264.0,B
std-2796,Male,Group D,Bachelor's degree,Standard,Not complete,42,52.0,50.0,46.0,190.0,D
std-2797,Male,Group D,High school,Standard,Not complete,31,32.0,74.0,61.0,198.0,D
std-2798,Male,Group D,Associate's degree,Standard,Not complete,28,30.0,77.0,73.0,208.0,C
std-2799,Male,Group C,High school,Standard,Complete,72,100.0,100.0,67.0,339.0,A
std-2800,Male,Group D,High school,Free/reduced,Complete,18,86.0,49.0,70.0,223.0,C
std-2801,Male,Group C,Bachelor's degree,Standard,Complete,49,100.0,57.0,77.0,283.0,B
std-2802,Male,Group D,High school,Standard,Not complete,29,56.0,74.0,59.0,218.0,C
std-2803,Male,Group E,Some college,Free/reduced,Not complete,45,61.0,49.0,88.0,243.0,C
std-2804,Male,Group C,Bachelor's degree,Free/reduced,Not complete,47,74.0,70.0,32.0,223.0,C
